2025-12-18 21:41:28 - system_events - INFO - [BOOT_TEST] {"message": "system_events logging verified"}
2025-12-18 21:41:34 - system_events - INFO - [SYSTEM_READY] {"all_critical_threads_alive": true}
2025-12-19 00:04:23 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:04:23.978551", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:06:05 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:06:05.714340", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:07:44 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:07:44.848146", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:09:24 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:09:24.348047", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:11:05 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:11:05.295970", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:12:44 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:12:44.865002", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:14:23 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:14:23.933584", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:16:05 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:16:05.446910", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:17:44 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:17:44.809935", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:19:24 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:19:24.913432", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:21:06 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:21:06.580760", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:22:45 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:22:45.890214", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:24:25 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:24:25.354788", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:26:05 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:26:05.730318", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:27:43 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:27:43.476813", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:29:21 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:29:21.800800", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:30:59 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:30:59.732312", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:32:37 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:32:37.716766", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:34:14 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:34:14.954539", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:35:52 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:35:52.202288", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:37:30 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:37:30.520051", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:39:11 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:39:11.467959", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:41:22 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:41:22.205457", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:43:39 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:43:39.649684", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:45:53 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:45:53.320888", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:47:57 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:47:57.153798", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:50:11 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:50:11.805379", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:52:27 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:52:27.089259", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:54:48 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:54:48.122377", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:57:09 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:57:09.803153", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:59:25 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:59:25.399761", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 01:01:43 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T01:01:43.723693", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 01:04:10 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T01:04:10.123750", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 01:06:39 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T01:06:39.964702", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 01:08:59 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T01:08:59.793899", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 01:11:26 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T01:11:26.757555", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 01:13:48 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T01:13:48.203056", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
