2025-12-14 22:26:06 - backtest_runner - INFO - mode=BACKTEST | Setting up backtest environment...
2025-12-14 22:26:06 - backtest_runner - INFO - mode=BACKTEST | Data preflight validation complete: 14 valid symbols, 0 skipped
2025-12-14 22:26:15 - backtest_runner - INFO - Market data provider initialized with start time: 2025-10-27 08:21:00
2025-12-14 22:26:15 - backtest_runner - INFO - Backtest environment setup complete
2025-12-14 22:26:15 - backtest_runner - INFO - Initializing trading bot for backtest mode...
2025-12-14 22:26:16 - backtest_runner - INFO - Registered SL worker loop callback
2025-12-14 22:26:16 - backtest_runner - INFO - Registered run_cycle callback
2025-12-14 22:26:16 - backtest_runner - INFO - Trading bot initialized for backtest
2025-12-14 22:26:16 - backtest_runner - INFO - ================================================================================
2025-12-14 22:26:16 - backtest_runner - INFO - STARTING BACKTEST
2025-12-14 23:31:38 - backtest_runner - INFO - Backtest progress: Step 4131 | Time: 2025-10-30 14:14:00 | Speed: 0.7 steps/sec
2025-12-14 23:32:08 - backtest_runner - INFO - Backtest progress: Step 4148 | Time: 2025-10-30 14:31:00 | Speed: 0.6 steps/sec
2025-12-14 23:32:42 - backtest_runner - INFO - Backtest progress: Step 4162 | Time: 2025-10-30 14:45:00 | Speed: 0.4 steps/sec
2025-12-14 23:33:12 - backtest_runner - INFO - Backtest progress: Step 4174 | Time: 2025-10-30 14:57:00 | Speed: 0.4 steps/sec
2025-12-14 23:33:44 - backtest_runner - INFO - Backtest progress: Step 4187 | Time: 2025-10-30 15:10:00 | Speed: 0.4 steps/sec
2025-12-14 23:34:16 - backtest_runner - INFO - Backtest progress: Step 4198 | Time: 2025-10-30 15:21:00 | Speed: 0.3 steps/sec
2025-12-14 23:34:49 - backtest_runner - INFO - Backtest progress: Step 4211 | Time: 2025-10-30 15:34:00 | Speed: 0.4 steps/sec
2025-12-14 23:35:20 - backtest_runner - INFO - Backtest progress: Step 4223 | Time: 2025-10-30 15:46:00 | Speed: 0.4 steps/sec
2025-12-14 23:35:50 - backtest_runner - INFO - Backtest progress: Step 4236 | Time: 2025-10-30 15:59:00 | Speed: 0.4 steps/sec
2025-12-14 23:36:20 - backtest_runner - INFO - Backtest progress: Step 4251 | Time: 2025-10-30 16:14:00 | Speed: 0.5 steps/sec
2025-12-14 23:36:51 - backtest_runner - INFO - Backtest progress: Step 4265 | Time: 2025-10-30 16:28:00 | Speed: 0.4 steps/sec
2025-12-14 23:37:23 - backtest_runner - INFO - Backtest progress: Step 4279 | Time: 2025-10-30 16:42:00 | Speed: 0.4 steps/sec
2025-12-14 23:37:53 - backtest_runner - INFO - Backtest progress: Step 4292 | Time: 2025-10-30 16:55:00 | Speed: 0.4 steps/sec
2025-12-14 23:38:24 - backtest_runner - INFO - Backtest progress: Step 4306 | Time: 2025-10-30 17:09:00 | Speed: 0.5 steps/sec
2025-12-14 23:38:54 - backtest_runner - INFO - Backtest progress: Step 4318 | Time: 2025-10-30 17:21:00 | Speed: 0.4 steps/sec
2025-12-14 23:39:25 - backtest_runner - INFO - Backtest progress: Step 4332 | Time: 2025-10-30 17:35:00 | Speed: 0.4 steps/sec
2025-12-14 23:39:58 - backtest_runner - INFO - Backtest progress: Step 4347 | Time: 2025-10-30 17:50:00 | Speed: 0.5 steps/sec
2025-12-14 23:40:29 - backtest_runner - INFO - Backtest progress: Step 4362 | Time: 2025-10-30 18:05:00 | Speed: 0.5 steps/sec
2025-12-14 23:41:01 - backtest_runner - INFO - Backtest progress: Step 4377 | Time: 2025-10-30 18:20:00 | Speed: 0.5 steps/sec
2025-12-14 23:41:33 - backtest_runner - INFO - Backtest progress: Step 4391 | Time: 2025-10-30 18:34:00 | Speed: 0.4 steps/sec
2025-12-14 23:42:07 - backtest_runner - INFO - Backtest progress: Step 4405 | Time: 2025-10-30 18:48:00 | Speed: 0.4 steps/sec
2025-12-14 23:42:37 - backtest_runner - INFO - Backtest progress: Step 4421 | Time: 2025-10-30 19:04:00 | Speed: 0.5 steps/sec
2025-12-14 23:43:08 - backtest_runner - INFO - Backtest progress: Step 4436 | Time: 2025-10-30 19:19:00 | Speed: 0.5 steps/sec
2025-12-14 23:43:39 - backtest_runner - INFO - Backtest progress: Step 4451 | Time: 2025-10-30 19:34:00 | Speed: 0.5 steps/sec
2025-12-14 23:44:10 - backtest_runner - INFO - Backtest progress: Step 4468 | Time: 2025-10-30 19:51:00 | Speed: 0.6 steps/sec
2025-12-14 23:44:41 - backtest_runner - INFO - Backtest progress: Step 4484 | Time: 2025-10-30 20:07:00 | Speed: 0.5 steps/sec
2025-12-14 23:45:13 - backtest_runner - INFO - Backtest progress: Step 4496 | Time: 2025-10-30 20:19:00 | Speed: 0.4 steps/sec
2025-12-14 23:45:45 - backtest_runner - INFO - Backtest progress: Step 4509 | Time: 2025-10-30 20:32:00 | Speed: 0.4 steps/sec
2025-12-14 23:46:16 - backtest_runner - INFO - Backtest progress: Step 4522 | Time: 2025-10-30 20:45:00 | Speed: 0.4 steps/sec
2025-12-14 23:46:47 - backtest_runner - INFO - Backtest progress: Step 4539 | Time: 2025-10-30 22:02:00 | Speed: 0.5 steps/sec
2025-12-14 23:47:18 - backtest_runner - INFO - Backtest progress: Step 4555 | Time: 2025-10-30 22:18:00 | Speed: 0.5 steps/sec
2025-12-14 23:47:49 - backtest_runner - INFO - Backtest progress: Step 4569 | Time: 2025-10-30 22:32:00 | Speed: 0.4 steps/sec
2025-12-14 23:48:20 - backtest_runner - INFO - Backtest progress: Step 4583 | Time: 2025-10-30 22:46:00 | Speed: 0.5 steps/sec
2025-12-14 23:48:51 - backtest_runner - INFO - Backtest progress: Step 4600 | Time: 2025-10-30 23:03:00 | Speed: 0.6 steps/sec
2025-12-14 23:49:21 - backtest_runner - INFO - Backtest progress: Step 4619 | Time: 2025-10-30 23:22:00 | Speed: 0.6 steps/sec
2025-12-14 23:49:52 - backtest_runner - INFO - Backtest progress: Step 4638 | Time: 2025-10-30 23:41:00 | Speed: 0.6 steps/sec
2025-12-14 23:50:23 - backtest_runner - INFO - Backtest progress: Step 4653 | Time: 2025-10-30 23:56:00 | Speed: 0.5 steps/sec
2025-12-14 23:50:53 - backtest_runner - INFO - Backtest progress: Step 4670 | Time: 2025-10-31 00:13:00 | Speed: 0.6 steps/sec
