2025-12-19 00:05:57 - lightweight_realtime - INFO - [2025-12-19 00:05:57.854] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:58 - lightweight_realtime - INFO - [2025-12-19 00:05:58.886] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:59 - lightweight_realtime - INFO - [2025-12-19 00:05:59.921] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:00 - lightweight_realtime - INFO - [2025-12-19 00:06:00.946] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:01 - lightweight_realtime - INFO - [2025-12-19 00:06:01.962] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:02 - lightweight_realtime - INFO - [2025-12-19 00:06:02.987] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:04 - lightweight_realtime - INFO - [2025-12-19 00:06:04.008] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:05 - lightweight_realtime - INFO - [2025-12-19 00:06:05.026] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:06 - lightweight_realtime - INFO - [2025-12-19 00:06:06.053] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:07 - lightweight_realtime - INFO - [2025-12-19 00:06:07.084] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:08 - lightweight_realtime - INFO - [2025-12-19 00:06:08.109] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:09 - lightweight_realtime - INFO - [2025-12-19 00:06:09.125] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:10 - lightweight_realtime - INFO - [2025-12-19 00:06:10.146] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:11 - lightweight_realtime - INFO - [2025-12-19 00:06:11.170] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:12 - lightweight_realtime - INFO - [2025-12-19 00:06:12.196] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:13 - lightweight_realtime - INFO - [2025-12-19 00:06:13.229] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:14 - lightweight_realtime - INFO - [2025-12-19 00:06:14.265] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:15 - lightweight_realtime - INFO - [2025-12-19 00:06:15.296] Positions: 1 | State: SCANNING | Symbol: N/A
2025-12-19 00:06:16 - lightweight_realtime - INFO - [2025-12-19 00:06:16.353] Positions: 1 | State: SCANNING | Symbol: DE30m
2025-12-19 00:06:17 - lightweight_realtime - INFO - [2025-12-19 00:06:17.404] Positions: 1 | State: SCANNING | Symbol: CMCSAm
2025-12-19 00:06:18 - lightweight_realtime - INFO - [2025-12-19 00:06:18.447] Positions: 1 | State: SCANNING | Symbol: WFCm
2025-12-19 00:06:19 - lightweight_realtime - INFO - [2025-12-19 00:06:19.483] Positions: 1 | State: SCANNING | Symbol: PEPm
2025-12-19 00:06:20 - lightweight_realtime - INFO - [2025-12-19 00:06:20.522] Positions: 1 | State: SCANNING | Symbol: EURGBPm
2025-12-19 00:06:21 - lightweight_realtime - INFO - [2025-12-19 00:06:21.549] Positions: 1 | State: SCANNING | Symbol: NZDUSDm
2025-12-19 00:06:22 - lightweight_realtime - INFO - [2025-12-19 00:06:22.603] Positions: 1 | State: SCANNING | Symbol: EURJPYm
2025-12-19 00:06:23 - lightweight_realtime - INFO - [2025-12-19 00:06:23.669] Positions: 1 | State: SCANNING | Symbol: ADPm
2025-12-19 00:06:24 - lightweight_realtime - INFO - [2025-12-19 00:06:24.692] Positions: 1 | State: SCANNING | Symbol: EURAUDm
2025-12-19 00:06:25 - lightweight_realtime - INFO - [2025-12-19 00:06:25.737] Positions: 1 | State: SCANNING | Symbol: XAGAUDm
2025-12-19 00:06:26 - lightweight_realtime - INFO - [2025-12-19 00:06:26.780] Positions: 1 | State: SCANNING | Symbol: CADMXNm
2025-12-19 00:06:27 - lightweight_realtime - INFO - [2025-12-19 00:06:27.812] Positions: 1 | State: SCANNING | Symbol: XNGUSDm
2025-12-19 00:06:28 - lightweight_realtime - INFO - [2025-12-19 00:06:28.828] Positions: 1 | State: SCANNING | Symbol: USDZARm
2025-12-19 00:06:29 - lightweight_realtime - INFO - [2025-12-19 00:06:29.927] Positions: 1 | State: SCANNING | Symbol: USDPLNm
2025-12-19 00:06:30 - lightweight_realtime - INFO - [2025-12-19 00:06:30.939] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:31 - lightweight_realtime - INFO - [2025-12-19 00:06:31.958] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:32 - lightweight_realtime - INFO - [2025-12-19 00:06:32.972] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:33 - lightweight_realtime - INFO - [2025-12-19 00:06:33.991] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:35 - lightweight_realtime - INFO - [2025-12-19 00:06:35.016] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:36 - lightweight_realtime - INFO - [2025-12-19 00:06:36.044] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:37 - lightweight_realtime - INFO - [2025-12-19 00:06:37.065] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:38 - lightweight_realtime - INFO - [2025-12-19 00:06:38.091] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:39 - lightweight_realtime - INFO - [2025-12-19 00:06:39.104] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:40 - lightweight_realtime - INFO - [2025-12-19 00:06:40.122] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:41 - lightweight_realtime - INFO - [2025-12-19 00:06:41.146] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:42 - lightweight_realtime - INFO - [2025-12-19 00:06:42.167] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:43 - lightweight_realtime - INFO - [2025-12-19 00:06:43.189] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:44 - lightweight_realtime - INFO - [2025-12-19 00:06:44.207] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:45 - lightweight_realtime - INFO - [2025-12-19 00:06:45.232] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:46 - lightweight_realtime - INFO - [2025-12-19 00:06:46.254] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:47 - lightweight_realtime - INFO - [2025-12-19 00:06:47.279] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:48 - lightweight_realtime - INFO - [2025-12-19 00:06:48.290] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:49 - lightweight_realtime - INFO - [2025-12-19 00:06:49.315] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:50 - lightweight_realtime - INFO - [2025-12-19 00:06:50.339] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:51 - lightweight_realtime - INFO - [2025-12-19 00:06:51.349] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:52 - lightweight_realtime - INFO - [2025-12-19 00:06:52.360] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:53 - lightweight_realtime - INFO - [2025-12-19 00:06:53.379] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:54 - lightweight_realtime - INFO - [2025-12-19 00:06:54.404] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:55 - lightweight_realtime - INFO - [2025-12-19 00:06:55.415] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:56 - lightweight_realtime - INFO - [2025-12-19 00:06:56.447] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:57 - lightweight_realtime - INFO - [2025-12-19 00:06:57.456] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:58 - lightweight_realtime - INFO - [2025-12-19 00:06:58.473] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:06:59 - lightweight_realtime - INFO - [2025-12-19 00:06:59.494] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:07:00 - lightweight_realtime - INFO - [2025-12-19 00:07:00.504] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:07:01 - lightweight_realtime - INFO - [2025-12-19 00:07:01.526] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:07:02 - lightweight_realtime - INFO - [2025-12-19 00:07:02.551] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:07:03 - lightweight_realtime - INFO - [2025-12-19 00:07:03.575] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:07:04 - lightweight_realtime - INFO - [2025-12-19 00:07:04.599] Positions: 1 | State: IDLE | Symbol: N/A
