2025-12-17 17:26:48 - lightweight_realtime - INFO - [2025-12-17 17:26:48.758] Positions: 0 | State: SCANNING | Symbol: US30_x10m
2025-12-17 17:26:49 - lightweight_realtime - INFO - [2025-12-17 17:26:49.798] Positions: 0 | State: SCANNING | Symbol: AMZNm
2025-12-17 17:26:51 - lightweight_realtime - INFO - [2025-12-17 17:26:51.141] Positions: 0 | State: SCANNING | Symbol: XOMm
2025-12-17 17:26:52 - lightweight_realtime - INFO - [2025-12-17 17:26:52.146] Positions: 0 | State: SCANNING | Symbol: EURGBPm
2025-12-17 17:26:53 - lightweight_realtime - INFO - [2025-12-17 17:26:53.161] Positions: 0 | State: SCANNING | Symbol: XAGUSDm
2025-12-17 17:26:54 - lightweight_realtime - INFO - [2025-12-17 17:26:54.183] Positions: 0 | State: SCANNING | Symbol: BIDUm
2025-12-17 17:26:55 - lightweight_realtime - INFO - [2025-12-17 17:26:55.194] Positions: 0 | State: SCANNING | Symbol: GOOGLm
2025-12-17 17:26:56 - lightweight_realtime - INFO - [2025-12-17 17:26:56.268] Positions: 0 | State: SCANNING | Symbol: XAGAUDm
2025-12-17 17:26:57 - lightweight_realtime - INFO - [2025-12-17 17:26:57.297] Positions: 0 | State: SCANNING | Symbol: REGNm
2025-12-17 17:26:58 - lightweight_realtime - INFO - [2025-12-17 17:26:58.315] Positions: 0 | State: SCANNING | Symbol: USDHKDm
2025-12-17 17:26:59 - lightweight_realtime - INFO - [2025-12-17 17:26:59.340] Positions: 0 | State: SCANNING | Symbol: CHFDKKm
2025-12-17 17:27:00 - lightweight_realtime - INFO - [2025-12-17 17:27:00.368] Positions: 0 | State: SCANNING | Symbol: AUDZARm
2025-12-17 17:27:01 - lightweight_realtime - INFO - [2025-12-17 17:27:01.467] Positions: 0 | State: SCANNING | Symbol: CADNOKm
2025-12-17 17:27:02 - lightweight_realtime - INFO - [2025-12-17 17:27:02.476] Positions: 1 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:03 - lightweight_realtime - INFO - [2025-12-17 17:27:03.682] Positions: 1 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:04 - lightweight_realtime - INFO - [2025-12-17 17:27:04.702] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:05 - lightweight_realtime - INFO - [2025-12-17 17:27:05.721] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:06 - lightweight_realtime - INFO - [2025-12-17 17:27:06.737] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:07 - lightweight_realtime - INFO - [2025-12-17 17:27:07.976] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:08 - lightweight_realtime - INFO - [2025-12-17 17:27:08.997] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-17 17:27:10 - lightweight_realtime - INFO - [2025-12-17 17:27:10.025] Positions: 0 | State: MANAGING TRADE | Symbol: TSLAm
