2025-12-18 21:43:27 - lightweight_realtime - INFO - [2025-12-18 21:43:27.636] Positions: 0 | State: SCANNING | Symbol: FR40m
2025-12-18 21:43:28 - lightweight_realtime - INFO - [2025-12-18 21:43:28.679] Positions: 0 | State: SCANNING | Symbol: EURAUDm
2025-12-18 21:43:29 - lightweight_realtime - INFO - [2025-12-18 21:43:29.723] Positions: 0 | State: SCANNING | Symbol: CADMXNm
2025-12-18 21:43:30 - lightweight_realtime - INFO - [2025-12-18 21:43:30.739] Positions: 0 | State: SCANNING | Symbol: XPDUSDm
2025-12-18 21:43:31 - lightweight_realtime - INFO - [2025-12-18 21:43:31.759] Positions: 0 | State: SCANNING | Symbol: EURMXNm
2025-12-18 21:43:32 - lightweight_realtime - INFO - [2025-12-18 21:43:32.776] Positions: 0 | State: SCANNING | Symbol: GBPPLNm
2025-12-18 21:43:33 - lightweight_realtime - INFO - [2025-12-18 21:43:33.800] Positions: 0 | State: SCANNING | Symbol: CADNOKm
2025-12-18 21:43:34 - lightweight_realtime - INFO - [2025-12-18 21:43:34.818] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:35 - lightweight_realtime - INFO - [2025-12-18 21:43:35.832] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:36 - lightweight_realtime - INFO - [2025-12-18 21:43:36.848] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:37 - lightweight_realtime - INFO - [2025-12-18 21:43:37.865] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:38 - lightweight_realtime - INFO - [2025-12-18 21:43:38.973] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:40 - lightweight_realtime - INFO - [2025-12-18 21:43:40.115] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:41 - lightweight_realtime - INFO - [2025-12-18 21:43:41.130] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:42 - lightweight_realtime - INFO - [2025-12-18 21:43:42.153] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:43 - lightweight_realtime - INFO - [2025-12-18 21:43:43.179] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:44 - lightweight_realtime - INFO - [2025-12-18 21:43:44.182] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:45 - lightweight_realtime - INFO - [2025-12-18 21:43:45.381] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:46 - lightweight_realtime - INFO - [2025-12-18 21:43:46.424] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:47 - lightweight_realtime - INFO - [2025-12-18 21:43:47.444] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:48 - lightweight_realtime - INFO - [2025-12-18 21:43:48.469] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:49 - lightweight_realtime - INFO - [2025-12-18 21:43:49.478] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:50 - lightweight_realtime - INFO - [2025-12-18 21:43:50.502] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:51 - lightweight_realtime - INFO - [2025-12-18 21:43:51.509] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:52 - lightweight_realtime - INFO - [2025-12-18 21:43:52.582] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:53 - lightweight_realtime - INFO - [2025-12-18 21:43:53.603] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:43:54 - lightweight_realtime - INFO - [2025-12-18 21:43:54.623] Positions: 0 | State: IDLE | Symbol: N/A
