2025-12-14 22:30:23 - lightweight_realtime - INFO - [2025-12-14 22:30:23.592] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:24 - lightweight_realtime - INFO - [2025-12-14 22:30:24.611] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:25 - lightweight_realtime - INFO - [2025-12-14 22:30:25.633] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:26 - lightweight_realtime - INFO - [2025-12-14 22:30:26.655] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:27 - lightweight_realtime - INFO - [2025-12-14 22:30:27.677] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:28 - lightweight_realtime - INFO - [2025-12-14 22:30:28.699] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:29 - lightweight_realtime - INFO - [2025-12-14 22:30:29.729] Positions: 0 | State: SCANNING | Symbol: N/A
2025-12-14 22:30:30 - lightweight_realtime - INFO - [2025-12-14 22:30:30.980] Positions: 0 | State: SCANNING | Symbol: CHFMXNm
2025-12-14 22:30:32 - lightweight_realtime - INFO - [2025-12-14 22:30:32.006] Positions: 0 | State: SCANNING | Symbol: GBPZARm
2025-12-14 22:30:33 - lightweight_realtime - INFO - [2025-12-14 22:30:33.022] Positions: 0 | State: SCANNING | Symbol: CHFNOKm
2025-12-14 22:30:34 - lightweight_realtime - INFO - [2025-12-14 22:30:34.033] Positions: 0 | State: SCANNING | Symbol: USDSGDm
2025-12-14 22:30:35 - lightweight_realtime - INFO - [2025-12-14 22:30:35.062] Positions: 0 | State: SCANNING | Symbol: USDDKKm
2025-12-14 22:30:36 - lightweight_realtime - INFO - [2025-12-14 22:30:36.099] Positions: 0 | State: SCANNING | Symbol: GBPMXNm
2025-12-14 22:30:37 - lightweight_realtime - INFO - [2025-12-14 22:30:37.122] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:38 - lightweight_realtime - INFO - [2025-12-14 22:30:38.157] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:39 - lightweight_realtime - INFO - [2025-12-14 22:30:39.183] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:40 - lightweight_realtime - INFO - [2025-12-14 22:30:40.215] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:41 - lightweight_realtime - INFO - [2025-12-14 22:30:41.240] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:42 - lightweight_realtime - INFO - [2025-12-14 22:30:42.276] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:43 - lightweight_realtime - INFO - [2025-12-14 22:30:43.319] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:44 - lightweight_realtime - INFO - [2025-12-14 22:30:44.343] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:45 - lightweight_realtime - INFO - [2025-12-14 22:30:45.366] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:46 - lightweight_realtime - INFO - [2025-12-14 22:30:46.425] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:47 - lightweight_realtime - INFO - [2025-12-14 22:30:47.470] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:48 - lightweight_realtime - INFO - [2025-12-14 22:30:48.505] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:49 - lightweight_realtime - INFO - [2025-12-14 22:30:49.525] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:50 - lightweight_realtime - INFO - [2025-12-14 22:30:50.551] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:51 - lightweight_realtime - INFO - [2025-12-14 22:30:51.579] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:52 - lightweight_realtime - INFO - [2025-12-14 22:30:52.587] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:53 - lightweight_realtime - INFO - [2025-12-14 22:30:53.613] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:54 - lightweight_realtime - INFO - [2025-12-14 22:30:54.640] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:55 - lightweight_realtime - INFO - [2025-12-14 22:30:55.703] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:56 - lightweight_realtime - INFO - [2025-12-14 22:30:56.728] Positions: 0 | State: SCANNING | Symbol: N/A
2025-12-14 22:30:57 - lightweight_realtime - INFO - [2025-12-14 22:30:57.817] Positions: 0 | State: SCANNING | Symbol: USDCADm
