2025-12-23 10:02:28 - lightweight_realtime - INFO - [2025-12-23 10:02:28.098] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:29 - lightweight_realtime - INFO - [2025-12-23 10:02:29.122] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:30 - lightweight_realtime - INFO - [2025-12-23 10:02:30.155] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:31 - lightweight_realtime - INFO - [2025-12-23 10:02:31.178] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:32 - lightweight_realtime - INFO - [2025-12-23 10:02:32.197] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:33 - lightweight_realtime - INFO - [2025-12-23 10:02:33.222] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:34 - lightweight_realtime - INFO - [2025-12-23 10:02:34.243] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:35 - lightweight_realtime - INFO - [2025-12-23 10:02:35.268] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:36 - lightweight_realtime - INFO - [2025-12-23 10:02:36.290] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:37 - lightweight_realtime - INFO - [2025-12-23 10:02:37.314] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:38 - lightweight_realtime - INFO - [2025-12-23 10:02:38.341] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:39 - lightweight_realtime - INFO - [2025-12-23 10:02:39.357] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:40 - lightweight_realtime - INFO - [2025-12-23 10:02:40.369] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:41 - lightweight_realtime - INFO - [2025-12-23 10:02:41.382] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:42 - lightweight_realtime - INFO - [2025-12-23 10:02:42.404] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:43 - lightweight_realtime - INFO - [2025-12-23 10:02:43.436] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:44 - lightweight_realtime - INFO - [2025-12-23 10:02:44.452] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:45 - lightweight_realtime - INFO - [2025-12-23 10:02:45.466] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:46 - lightweight_realtime - INFO - [2025-12-23 10:02:46.491] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:47 - lightweight_realtime - INFO - [2025-12-23 10:02:47.521] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:48 - lightweight_realtime - INFO - [2025-12-23 10:02:48.545] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:49 - lightweight_realtime - INFO - [2025-12-23 10:02:49.553] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:50 - lightweight_realtime - INFO - [2025-12-23 10:02:50.560] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:51 - lightweight_realtime - INFO - [2025-12-23 10:02:51.572] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:52 - lightweight_realtime - INFO - [2025-12-23 10:02:52.583] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:53 - lightweight_realtime - INFO - [2025-12-23 10:02:53.608] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:54 - lightweight_realtime - INFO - [2025-12-23 10:02:54.629] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:55 - lightweight_realtime - INFO - [2025-12-23 10:02:55.642] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:56 - lightweight_realtime - INFO - [2025-12-23 10:02:56.649] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:57 - lightweight_realtime - INFO - [2025-12-23 10:02:57.671] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:58 - lightweight_realtime - INFO - [2025-12-23 10:02:58.676] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:59 - lightweight_realtime - INFO - [2025-12-23 10:02:59.698] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:00 - lightweight_realtime - INFO - [2025-12-23 10:03:00.714] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:01 - lightweight_realtime - INFO - [2025-12-23 10:03:01.781] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:02 - lightweight_realtime - INFO - [2025-12-23 10:03:02.828] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:03 - lightweight_realtime - INFO - [2025-12-23 10:03:03.854] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:04 - lightweight_realtime - INFO - [2025-12-23 10:03:04.874] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:05 - lightweight_realtime - INFO - [2025-12-23 10:03:05.900] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:06 - lightweight_realtime - INFO - [2025-12-23 10:03:06.906] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:07 - lightweight_realtime - INFO - [2025-12-23 10:03:07.927] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:08 - lightweight_realtime - INFO - [2025-12-23 10:03:08.955] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:09 - lightweight_realtime - INFO - [2025-12-23 10:03:09.961] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:10 - lightweight_realtime - INFO - [2025-12-23 10:03:10.973] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:11 - lightweight_realtime - INFO - [2025-12-23 10:03:11.994] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:13 - lightweight_realtime - INFO - [2025-12-23 10:03:13.018] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:14 - lightweight_realtime - INFO - [2025-12-23 10:03:14.048] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:15 - lightweight_realtime - INFO - [2025-12-23 10:03:15.071] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:16 - lightweight_realtime - INFO - [2025-12-23 10:03:16.077] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:17 - lightweight_realtime - INFO - [2025-12-23 10:03:17.082] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:18 - lightweight_realtime - INFO - [2025-12-23 10:03:18.093] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:19 - lightweight_realtime - INFO - [2025-12-23 10:03:19.114] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:20 - lightweight_realtime - INFO - [2025-12-23 10:03:20.140] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:21 - lightweight_realtime - INFO - [2025-12-23 10:03:21.167] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:22 - lightweight_realtime - INFO - [2025-12-23 10:03:22.185] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:23 - lightweight_realtime - INFO - [2025-12-23 10:03:23.199] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:24 - lightweight_realtime - INFO - [2025-12-23 10:03:24.216] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:25 - lightweight_realtime - INFO - [2025-12-23 10:03:25.236] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:26 - lightweight_realtime - INFO - [2025-12-23 10:03:26.247] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:27 - lightweight_realtime - INFO - [2025-12-23 10:03:27.266] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:28 - lightweight_realtime - INFO - [2025-12-23 10:03:28.301] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:29 - lightweight_realtime - INFO - [2025-12-23 10:03:29.327] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:03:30 - lightweight_realtime - INFO - [2025-12-23 10:03:30.342] Positions: 0 | State: SCANNING | Symbol: XAUAUDm
2025-12-23 10:03:31 - lightweight_realtime - INFO - [2025-12-23 10:03:31.360] Positions: 0 | State: SCANNING | Symbol: US500_x100m
2025-12-23 10:03:32 - lightweight_realtime - INFO - [2025-12-23 10:03:32.379] Positions: 0 | State: SCANNING | Symbol: XCUUSDm
2025-12-23 10:03:33 - lightweight_realtime - INFO - [2025-12-23 10:03:33.397] Positions: 0 | State: SCANNING | Symbol: NZDCADm
