2025-12-15 12:34:27 - lightweight_realtime - INFO - [2025-12-15 12:34:27.651] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:28 - lightweight_realtime - INFO - [2025-12-15 12:34:28.677] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:29 - lightweight_realtime - INFO - [2025-12-15 12:34:29.700] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:30 - lightweight_realtime - INFO - [2025-12-15 12:34:30.728] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:31 - lightweight_realtime - INFO - [2025-12-15 12:34:31.755] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:32 - lightweight_realtime - INFO - [2025-12-15 12:34:32.813] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:33 - lightweight_realtime - INFO - [2025-12-15 12:34:33.835] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:34 - lightweight_realtime - INFO - [2025-12-15 12:34:34.862] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:35 - lightweight_realtime - INFO - [2025-12-15 12:34:35.887] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:36 - lightweight_realtime - INFO - [2025-12-15 12:34:36.900] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:37 - lightweight_realtime - INFO - [2025-12-15 12:34:37.920] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:38 - lightweight_realtime - INFO - [2025-12-15 12:34:38.945] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:39 - lightweight_realtime - INFO - [2025-12-15 12:34:39.957] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:41 - lightweight_realtime - INFO - [2025-12-15 12:34:41.000] Positions: 0 | State: SCANNING | Symbol: USDJPYm
2025-12-15 12:34:42 - lightweight_realtime - INFO - [2025-12-15 12:34:42.022] Positions: 0 | State: SCANNING | Symbol: BTCCNHm
2025-12-15 12:34:43 - lightweight_realtime - INFO - [2025-12-15 12:34:43.040] Positions: 0 | State: SCANNING | Symbol: GBPCHFm
2025-12-15 12:34:44 - lightweight_realtime - INFO - [2025-12-15 12:34:44.060] Positions: 0 | State: SCANNING | Symbol: XAGAUDm
2025-12-15 12:34:45 - lightweight_realtime - INFO - [2025-12-15 12:34:45.090] Positions: 0 | State: SCANNING | Symbol: USDHKDm
2025-12-15 12:34:46 - lightweight_realtime - INFO - [2025-12-15 12:34:46.116] Positions: 0 | State: SCANNING | Symbol: CHFMXNm
2025-12-15 12:34:47 - lightweight_realtime - INFO - [2025-12-15 12:34:47.157] Positions: 0 | State: SCANNING | Symbol: NZDZARm
2025-12-15 12:34:48 - lightweight_realtime - INFO - [2025-12-15 12:34:48.180] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:49 - lightweight_realtime - INFO - [2025-12-15 12:34:49.195] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:50 - lightweight_realtime - INFO - [2025-12-15 12:34:50.205] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:51 - lightweight_realtime - INFO - [2025-12-15 12:34:51.242] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:52 - lightweight_realtime - INFO - [2025-12-15 12:34:52.261] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:53 - lightweight_realtime - INFO - [2025-12-15 12:34:53.406] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:54 - lightweight_realtime - INFO - [2025-12-15 12:34:54.417] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:55 - lightweight_realtime - INFO - [2025-12-15 12:34:55.440] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:56 - lightweight_realtime - INFO - [2025-12-15 12:34:56.449] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:57 - lightweight_realtime - INFO - [2025-12-15 12:34:57.458] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:58 - lightweight_realtime - INFO - [2025-12-15 12:34:58.489] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:59 - lightweight_realtime - INFO - [2025-12-15 12:34:59.516] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:00 - lightweight_realtime - INFO - [2025-12-15 12:35:00.526] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:01 - lightweight_realtime - INFO - [2025-12-15 12:35:01.538] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:02 - lightweight_realtime - INFO - [2025-12-15 12:35:02.577] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:03 - lightweight_realtime - INFO - [2025-12-15 12:35:03.605] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:04 - lightweight_realtime - INFO - [2025-12-15 12:35:04.634] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:05 - lightweight_realtime - INFO - [2025-12-15 12:35:05.659] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:06 - lightweight_realtime - INFO - [2025-12-15 12:35:06.687] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:07 - lightweight_realtime - INFO - [2025-12-15 12:35:07.696] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:08 - lightweight_realtime - INFO - [2025-12-15 12:35:08.728] Positions: 0 | State: SCANNING | Symbol: EURUSDm
2025-12-15 12:35:09 - lightweight_realtime - INFO - [2025-12-15 12:35:09.751] Positions: 0 | State: SCANNING | Symbol: XCUUSDm
2025-12-15 12:35:10 - lightweight_realtime - INFO - [2025-12-15 12:35:10.807] Positions: 0 | State: SCANNING | Symbol: GBPAUDm
2025-12-15 12:35:11 - lightweight_realtime - INFO - [2025-12-15 12:35:11.851] Positions: 0 | State: SCANNING | Symbol: MSFTm
2025-12-15 12:35:12 - lightweight_realtime - INFO - [2025-12-15 12:35:12.867] Positions: 0 | State: SCANNING | Symbol: BTCXAUm
2025-12-15 12:35:13 - lightweight_realtime - INFO - [2025-12-15 12:35:13.903] Positions: 0 | State: SCANNING | Symbol: USDPLNm
2025-12-15 12:35:14 - lightweight_realtime - INFO - [2025-12-15 12:35:14.912] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:15 - lightweight_realtime - INFO - [2025-12-15 12:35:15.936] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:16 - lightweight_realtime - INFO - [2025-12-15 12:35:16.964] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:17 - lightweight_realtime - INFO - [2025-12-15 12:35:17.984] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:18 - lightweight_realtime - INFO - [2025-12-15 12:35:18.997] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:20 - lightweight_realtime - INFO - [2025-12-15 12:35:20.024] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:21 - lightweight_realtime - INFO - [2025-12-15 12:35:21.041] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:22 - lightweight_realtime - INFO - [2025-12-15 12:35:22.061] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:23 - lightweight_realtime - INFO - [2025-12-15 12:35:23.087] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:24 - lightweight_realtime - INFO - [2025-12-15 12:35:24.202] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:25 - lightweight_realtime - INFO - [2025-12-15 12:35:25.224] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:35:26 - lightweight_realtime - INFO - [2025-12-15 12:35:26.244] Positions: 0 | State: IDLE | Symbol: N/A
