2025-12-22 17:30:32 - lightweight_realtime - INFO - [2025-12-22 17:30:32.804] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:33 - lightweight_realtime - INFO - [2025-12-22 17:30:33.824] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:34 - lightweight_realtime - INFO - [2025-12-22 17:30:34.850] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:35 - lightweight_realtime - INFO - [2025-12-22 17:30:35.887] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:36 - lightweight_realtime - INFO - [2025-12-22 17:30:36.909] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:37 - lightweight_realtime - INFO - [2025-12-22 17:30:37.923] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:38 - lightweight_realtime - INFO - [2025-12-22 17:30:38.937] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:39 - lightweight_realtime - INFO - [2025-12-22 17:30:39.952] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:40 - lightweight_realtime - INFO - [2025-12-22 17:30:40.982] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:42 - lightweight_realtime - INFO - [2025-12-22 17:30:42.008] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:43 - lightweight_realtime - INFO - [2025-12-22 17:30:43.041] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:44 - lightweight_realtime - INFO - [2025-12-22 17:30:44.067] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:45 - lightweight_realtime - INFO - [2025-12-22 17:30:45.098] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:46 - lightweight_realtime - INFO - [2025-12-22 17:30:46.115] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:47 - lightweight_realtime - INFO - [2025-12-22 17:30:47.136] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:48 - lightweight_realtime - INFO - [2025-12-22 17:30:48.167] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:49 - lightweight_realtime - INFO - [2025-12-22 17:30:49.196] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:50 - lightweight_realtime - INFO - [2025-12-22 17:30:50.225] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:51 - lightweight_realtime - INFO - [2025-12-22 17:30:51.254] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:52 - lightweight_realtime - INFO - [2025-12-22 17:30:52.280] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:53 - lightweight_realtime - INFO - [2025-12-22 17:30:53.311] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:54 - lightweight_realtime - INFO - [2025-12-22 17:30:54.341] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:55 - lightweight_realtime - INFO - [2025-12-22 17:30:55.373] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:56 - lightweight_realtime - INFO - [2025-12-22 17:30:56.433] Positions: 2 | State: SCANNING | Symbol: N/A
2025-12-22 17:30:57 - lightweight_realtime - INFO - [2025-12-22 17:30:57.618] Positions: 2 | State: SCANNING | Symbol: EURUSDm
2025-12-22 17:31:00 - lightweight_realtime - INFO - [2025-12-22 17:31:00.522] Positions: 2 | State: SCANNING | Symbol: US30_x10m
2025-12-22 17:31:01 - lightweight_realtime - INFO - [2025-12-22 17:31:01.537] Positions: 2 | State: SCANNING | Symbol: BTCUSDm
2025-12-22 17:31:03 - lightweight_realtime - INFO - [2025-12-22 17:31:03.297] Positions: 2 | State: SCANNING | Symbol: LIm
