2025-12-19 12:09:28 - lightweight_realtime - INFO - [2025-12-19 12:09:28.622] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:29 - lightweight_realtime - INFO - [2025-12-19 12:09:29.643] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:30 - lightweight_realtime - INFO - [2025-12-19 12:09:30.666] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:31 - lightweight_realtime - INFO - [2025-12-19 12:09:31.693] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:32 - lightweight_realtime - INFO - [2025-12-19 12:09:32.757] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:33 - lightweight_realtime - INFO - [2025-12-19 12:09:33.794] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:34 - lightweight_realtime - INFO - [2025-12-19 12:09:34.803] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:35 - lightweight_realtime - INFO - [2025-12-19 12:09:35.817] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:36 - lightweight_realtime - INFO - [2025-12-19 12:09:36.828] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:37 - lightweight_realtime - INFO - [2025-12-19 12:09:37.862] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:38 - lightweight_realtime - INFO - [2025-12-19 12:09:38.884] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:39 - lightweight_realtime - INFO - [2025-12-19 12:09:39.891] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:40 - lightweight_realtime - INFO - [2025-12-19 12:09:40.901] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:41 - lightweight_realtime - INFO - [2025-12-19 12:09:41.911] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:42 - lightweight_realtime - INFO - [2025-12-19 12:09:42.918] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:43 - lightweight_realtime - INFO - [2025-12-19 12:09:43.934] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:44 - lightweight_realtime - INFO - [2025-12-19 12:09:44.941] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:45 - lightweight_realtime - INFO - [2025-12-19 12:09:45.951] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:46 - lightweight_realtime - INFO - [2025-12-19 12:09:46.979] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:47 - lightweight_realtime - INFO - [2025-12-19 12:09:47.989] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:49 - lightweight_realtime - INFO - [2025-12-19 12:09:49.311] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:50 - lightweight_realtime - INFO - [2025-12-19 12:09:50.332] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:51 - lightweight_realtime - INFO - [2025-12-19 12:09:51.348] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:52 - lightweight_realtime - INFO - [2025-12-19 12:09:52.366] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:53 - lightweight_realtime - INFO - [2025-12-19 12:09:53.376] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:54 - lightweight_realtime - INFO - [2025-12-19 12:09:54.387] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:55 - lightweight_realtime - INFO - [2025-12-19 12:09:55.399] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:56 - lightweight_realtime - INFO - [2025-12-19 12:09:56.405] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:57 - lightweight_realtime - INFO - [2025-12-19 12:09:57.418] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:58 - lightweight_realtime - INFO - [2025-12-19 12:09:58.431] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:59 - lightweight_realtime - INFO - [2025-12-19 12:09:59.440] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
