2025-12-21 19:19:32 - lightweight_realtime - INFO - [2025-12-21 19:19:32.587] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:33 - lightweight_realtime - INFO - [2025-12-21 19:19:33.609] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:34 - lightweight_realtime - INFO - [2025-12-21 19:19:34.645] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:35 - lightweight_realtime - INFO - [2025-12-21 19:19:35.668] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:36 - lightweight_realtime - INFO - [2025-12-21 19:19:36.709] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:37 - lightweight_realtime - INFO - [2025-12-21 19:19:37.731] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:38 - lightweight_realtime - INFO - [2025-12-21 19:19:38.735] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:39 - lightweight_realtime - INFO - [2025-12-21 19:19:39.758] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:40 - lightweight_realtime - INFO - [2025-12-21 19:19:40.765] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:41 - lightweight_realtime - INFO - [2025-12-21 19:19:41.781] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:42 - lightweight_realtime - INFO - [2025-12-21 19:19:42.809] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:43 - lightweight_realtime - INFO - [2025-12-21 19:19:43.820] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:44 - lightweight_realtime - INFO - [2025-12-21 19:19:44.840] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:45 - lightweight_realtime - INFO - [2025-12-21 19:19:45.856] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:46 - lightweight_realtime - INFO - [2025-12-21 19:19:46.877] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:47 - lightweight_realtime - INFO - [2025-12-21 19:19:47.893] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:48 - lightweight_realtime - INFO - [2025-12-21 19:19:48.914] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:49 - lightweight_realtime - INFO - [2025-12-21 19:19:49.939] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:50 - lightweight_realtime - INFO - [2025-12-21 19:19:50.950] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:51 - lightweight_realtime - INFO - [2025-12-21 19:19:51.970] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:52 - lightweight_realtime - INFO - [2025-12-21 19:19:52.983] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:54 - lightweight_realtime - INFO - [2025-12-21 19:19:54.008] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:55 - lightweight_realtime - INFO - [2025-12-21 19:19:55.016] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:56 - lightweight_realtime - INFO - [2025-12-21 19:19:56.041] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:57 - lightweight_realtime - INFO - [2025-12-21 19:19:57.043] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:58 - lightweight_realtime - INFO - [2025-12-21 19:19:58.072] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:59 - lightweight_realtime - INFO - [2025-12-21 19:19:59.153] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:00 - lightweight_realtime - INFO - [2025-12-21 19:20:00.156] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:01 - lightweight_realtime - INFO - [2025-12-21 19:20:01.168] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:02 - lightweight_realtime - INFO - [2025-12-21 19:20:02.220] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:03 - lightweight_realtime - INFO - [2025-12-21 19:20:03.246] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:04 - lightweight_realtime - INFO - [2025-12-21 19:20:04.267] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:05 - lightweight_realtime - INFO - [2025-12-21 19:20:05.281] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:06 - lightweight_realtime - INFO - [2025-12-21 19:20:06.297] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:07 - lightweight_realtime - INFO - [2025-12-21 19:20:07.323] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:08 - lightweight_realtime - INFO - [2025-12-21 19:20:08.334] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:09 - lightweight_realtime - INFO - [2025-12-21 19:20:09.340] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:10 - lightweight_realtime - INFO - [2025-12-21 19:20:10.351] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:11 - lightweight_realtime - INFO - [2025-12-21 19:20:11.359] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:12 - lightweight_realtime - INFO - [2025-12-21 19:20:12.374] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:13 - lightweight_realtime - INFO - [2025-12-21 19:20:13.383] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:14 - lightweight_realtime - INFO - [2025-12-21 19:20:14.396] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:15 - lightweight_realtime - INFO - [2025-12-21 19:20:15.420] Positions: 0 | State: IDLE | Symbol: N/A
