2025-12-09 16:40:20 - discrepancies - WARNING - Order 467466661 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467514278 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467536293 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 463792552 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464475048 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467359148 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 463874989 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467776941 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467470257 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 463721906 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464800690 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 466976692 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467366322 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467429306 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 465342910 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 463901119 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 463810496 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 466976703 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467549640 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467469769 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467721166 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467461588 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467600340 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 465002458 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 466976731 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467211231 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
